producto_id,familia,categoria,subfamilia_slug,nombre,referencia,precio_eur,gama_marca,grosor_nm,cabos,formato,longitud_m,contenido_cantidad,contenido_unidad,color_nombre,color_codigo,cremallera_maya,cremallera_material,cremallera_tipo,cremallera_largo_cm,ancho_mm,acabado,aguja_sistema,aguja_calibre,soporte,es_pack,unidades_pack,es_outlet,eje_variedad,kits,n_kits,kit_a_marroquineria,kit_b_tapiceria,kit_c_bolsos,kit_d_costura_tecnica,kit_e_bordado,kit_f_acabado,url
1187-R+43315-9999999026058,AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA RECTA UNA PUNTA 25CMS,R-43315,8.84,,,,Unidad,,,,,,,,,,,,,,,false,,false,Único,A,1,true,false,false,false,false,false,https://canodiy.es/coser-a-mano/1187-R+43315-9999999026058.html
58-R+28176-9999999007330,AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA RECTA UNA PUNTA 6CMS.,R-28176,1.84,,,,Unidad,,,,,,,,,,,,,,,false,,false,Único,A,1,true,false,false,false,false,false,https://canodiy.es/coser-a-mano/58-R+28176-9999999007330.html
57-R+3677-9999999007927,AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA RECTA UNA PUNTA 8CMS.,R-3677,2.11,,,,Unidad,,,,,,,,,,,,,,,false,,false,Único,A,1,true,false,false,false,false,false,https://canodiy.es/coser-a-mano/57-R+3677-9999999007927.html
1193-R+21102-9999999004032,AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA SAQUERA 10CMS,R-21102,2.63,,,,Unidad,,,,,,,,,,,,,,,false,,false,Único,A,1,true,false,false,false,false,false,https://canodiy.es/coser-a-mano/1193-R+21102-9999999004032.html
1194-R+43305-9999999002472,AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA SAQUERA 15CMS,R-43305,4.35,,,,Unidad,,,,,,,,,,,,,,,false,,false,Único,A,1,true,false,false,false,false,false,https://canodiy.es/coser-a-mano/1194-R+43305-9999999002472.html
1195-R+43306-9999999007323,AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJA SAQUERA 20CMS,R-43306,7.12,,,,Unidad,,,,,,,,,,,,,,,false,,false,Único,A,1,true,false,false,false,false,false,https://canodiy.es/coser-a-mano/1195-R+43306-9999999007323.html
2767-R+44258-9999999029776,AGUJAS Y LEZNAS,Coser a Mano,coser-a-mano,AGUJAS COSER A MANO PAQUETE (20U.) 102116.006,R-44258,2.66,,,,Paquete,,,,,,,,,,,,,,,true,20,false,Único,A,1,true,false,false,false,false,false,https://canodiy.es/coser-a-mano/2767-R+44258-9999999029776.html
50-R+20307-9999999029356,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER  328LR  230/26,R-20307,9.74,,,,Unidad,,,,,,,,,,,,328LR,230/26,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/50-R+20307-9999999029356.html
329-R+1344-9999999027819,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134  85/13,R-1344,3.07,,,,Unidad,,,,,,,,,,,,134,85/13,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/329-R+1344-9999999027819.html
2947-R+25546-9999999027710,AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134 R 160/23,R-25546,3.07,,,,Unidad,,,,,,,,,,,,134,160/23,,false,,false,Único,D,1,false,false,false,true,false,false,https://canodiy.es/coser-a-maquina/2947-R+25546-9999999027710.html
