familia,categoria,slug,nombre,referencia,precio_eur,url
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134R  75/11,R-1342,3.07,https://canodiy.es/coser-a-maquina/324-R+1342-9999999027772.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 134R  90/14,R-1345,3.07,https://canodiy.es/coser-a-maquina/45-R+1345-9999999027826.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 135 X 17  100/16,R-460,4.0,https://canodiy.es/coser-a-maquina/305-R+460-9999999029387.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 135X17  110/18,R-461,4.0,https://canodiy.es/coser-a-maquina/306-R+461-9999999029394.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 135X17  120/19,R-462,4.0,https://canodiy.es/coser-a-maquina/313-R+462-9999999029400.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 135X17  90/14,R-464,4.0,https://canodiy.es/coser-a-maquina/332-R+464-9999999029424.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 328 LR 180/24,R-27993,9.74,https://canodiy.es/coser-a-maquina/2946-R+27993.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 328LR  120/19,R-3182,9.74,https://canodiy.es/coser-a-maquina/330-R+3182-9999999029332.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER 328LR  200/25,R-491,9.74,https://canodiy.es/coser-a-maquina/331-R+491-9999999029349.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,AGUJA DE MÁQUINA DE COSER PARA BORDAR  DBXK5 80/12RG,R-34505,7.08,https://canodiy.es/coser-a-maquina/1799-R+34505-9999999029370.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,PAQUETE (10U.) AGUJAS 134 LR 100/16,R-1293,4.94,https://canodiy.es/coser-a-maquina/1146-R+1293-9999999026485.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,PAQUETE (10U.) AGUJAS 134 LR 80/12,R-4038,4.94,https://canodiy.es/coser-a-maquina/1090-R+4038-9999999026607.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,PAQUETE (10U.) AGUJAS 134 R 80/12,R-1343,3.07,https://canodiy.es/coser-a-maquina/1088-R+1343-9999999027796.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,PAQUETE (10U.) AGUJAS 134-35 (R) 80/12,R-23405,4.54,https://canodiy.es/coser-a-maquina/1144-R+23405-9999999029301.html
AGUJAS Y LEZNAS,Coser a Máquina,coser-a-maquina,PAQUETE (10U.) AGUJAS 134-35 LR 120/19,R-12541,4.94,https://canodiy.es/coser-a-maquina/1145-R+12541-9999999029073.html
AGUJAS Y LEZNAS,Leznas,leznas,"LEZNA ACANALADA Nº1 PARA CUERO   70 x 3,5 MM",R-43276,5.69,https://canodiy.es/leznas/1208-R+43276-9999999026065.html
AGUJAS Y LEZNAS,Leznas,leznas,"LEZNA ACANALADA Nº2 PARA CUERO   85 x 3,5 MM",R-43318,6.24,https://canodiy.es/leznas/1209-R+43318-9999999026072.html
AGUJAS Y LEZNAS,Leznas,leznas,"LEZNA ACANALADA Nº3 PARA CUERO   95 x 3,5 MM",R-43319,6.7,https://canodiy.es/leznas/1210-R+43319-9999999026089.html
AGUJAS Y LEZNAS,Leznas,leznas,LEZNA ACANALADA Nº4 PARA CUERO   105 x 4 MM,R-43320,7.15,https://canodiy.es/leznas/1211-R+43320-9999999026096.html
AGUJAS Y LEZNAS,Leznas,leznas,"LEZNA CUADRADA Nº1 PARA CUERO   2,5 MM x 70 MM",R-17410,3.86,https://canodiy.es/leznas/1215-R+17410-9999999000027.html
AGUJAS Y LEZNAS,Leznas,leznas,LEZNA CUADRADA Nº2 PARA CUERO    4 MM x 80 MM,R-43264,4.24,https://canodiy.es/leznas/1214-R+43264-9999999014970.html
AGUJAS Y LEZNAS,Leznas,leznas,LEZNA CUADRADA Nº3 PARA CUERO  4 MM x 85 MM,R-594,4.56,https://canodiy.es/leznas/1213-R+594-9999999014987.html
AGUJAS Y LEZNAS,Leznas,leznas,LEZNA CUADRADA Nº4 PARA CUERO 4 MM x 90 MM,R-556,4.88,https://canodiy.es/leznas/1212-R+556-9999999014994.html
AGUJAS Y LEZNAS,Leznas,leznas,LEZNA DE GUARNICIONERO CON PUNTA DE ESPADA   100 MM,R-43263,5.92,https://canodiy.es/leznas/1222-R+43263-9999999026454.html
AGUJAS Y LEZNAS,Leznas,leznas,LEZNA DE GUARNICIONERO CON PUNTA DE ESPADA   60 MM,R-43227,3.95,https://canodiy.es/leznas/1218-R+43227-9999999015014.html
AGUJAS Y LEZNAS,Leznas,leznas,LEZNA DE GUARNICIONERO CON PUNTA DE ESPADA   65 MM,R-43261,3.95,https://canodiy.es/leznas/1221-R+43261-9999999026164.html
AGUJAS Y LEZNAS,Leznas,leznas,LEZNA DE GUARNICIONERO CON PUNTA DE ESPADA  90 MM,R-9973,4.99,https://canodiy.es/leznas/1217-R+9973-9999999026171.html
AGUJAS Y LEZNAS,Leznas,leznas,LEZNA DE GUARNICIONERO CON PUNTA DE ESPADA 45 MM,R-43259,3.2,https://canodiy.es/leznas/1219-R+43259-9999999026157.html
AGUJAS Y LEZNAS,Leznas,leznas,LEZNA DE GUARNICIONERO CON PUNTA DE ESPADA 55 MM,R-43260,3.47,https://canodiy.es/leznas/1220-R+43260-9999999015007.html
AGUJAS Y LEZNAS,Leznas,leznas,"LEZNA ESPAÑOLA CURVADA Nº4 PARA CUERO     3,5 MM x 80 MM",R-42247,4.7,https://canodiy.es/leznas/1216-R+42247-9999999026126.html
AGUJAS Y LEZNAS,Leznas,leznas,LEZNA ESPAÑOLA CURVADA PARA CUERO 3 MM x 80 MM,R-43267,4.56,https://canodiy.es/leznas/1686-R+43267-9999999026119.html
AGUJAS Y LEZNAS,Leznas,leznas,LEZNA PERFORADA Nº0 PARA CUERO 95 MM,R-43272,6.08,https://canodiy.es/leznas/1223-R+43272-9999999019302.html
AGUJAS Y LEZNAS,Leznas,leznas,LEZNA PERFORADA Nº1 PARA CUERO   100 MM,R-43274,6.32,https://canodiy.es/leznas/1224-R+43274-9999999026188.html
AGUJAS Y LEZNAS,Leznas,leznas,LEZNA PERFORADA Nº2 PARA CUERO 110 MM,R-43275,6.64,https://canodiy.es/leznas/1225-R+43275-9999999026195.html
AGUJAS Y LEZNAS,Leznas,leznas,LEZNA PUNZON MANUAL PARA PERFORAR 1.8MM,R-46710,7.55,https://canodiy.es/leznas/3368-R+46710-9999999001758.html
AGUJAS Y LEZNAS,Leznas,leznas,LEZNA PUNZON MANUAL PARA PERFORAR 2.5MM,R-26727,7.55,https://canodiy.es/leznas/3347-R+26727-9999999002892.html
AGUJAS Y LEZNAS,Leznas,leznas,LEZNA PUNZON MANUAL PARA PERFORAR 3.5MM,R-51304,8.74,https://canodiy.es/leznas/3371-R+51304-9999999023026.html
AGUJAS Y LEZNAS,Leznas,leznas,LEZNA PUNZON MANUAL PARA PERFORAR 3MM,R-8738,8.05,https://canodiy.es/leznas/3369-R+8738-9999999007316.html
AGUJAS Y LEZNAS,Leznas,leznas,LEZNA PUNZON MANUAL PARA PERFORAR 4.2MM,R-51305,9.33,https://canodiy.es/leznas/3372-R+51305-9999999023033.html
AGUJAS Y LEZNAS,Leznas,leznas,LEZNA PUNZON MANUAL PARA PERFORAR 4.3MM,R-51307,10.89,https://canodiy.es/leznas/3374-R+51307-9999999023057.html
AGUJAS Y LEZNAS,Leznas,leznas,LEZNA PUNZON MANUAL PARA PERFORAR 4.5MM,R-51306,10.02,https://canodiy.es/leznas/3373-R+51306-9999999023040.html
AGUJAS Y LEZNAS,Leznas,leznas,LEZNA SEMIRECTA Nº1,R-43270,3.52,https://canodiy.es/leznas/1227-R+43270-9999999026201.html
AGUJAS Y LEZNAS,Leznas,leznas,LEZNA SEMIRECTA Nº2,R-21101,3.95,https://canodiy.es/leznas/1226-R+21101-9999999026225.html
AGUJAS Y LEZNAS,Máquina Doméstica,maquina-domestica,PAQUETE DE 1 AGUJA TALON PLANO DOBLE PUNTA 80/12,R-64929,4.92,https://canodiy.es/maquina-domestica/8731-R+64929-9999999028106.html
AGUJAS Y LEZNAS,Máquina Doméstica,maquina-domestica,PAQUETE DE 1 AGUJA TALON PLANO DOBLE PUNTA 90/14,R-64930,4.92,https://canodiy.es/maquina-domestica/8732-R+64930-9999999028113.html
AGUJAS Y LEZNAS,Máquina Doméstica,maquina-domestica,PAQUETE DE 10 AGUJAS MÁQUINA DOMÉSTICA TALÓN PLANO 80/12,R-51087,3.06,https://canodiy.es/maquina-domestica/3342-R+51087-9999999028960.html
AGUJAS Y LEZNAS,Máquina Doméstica,maquina-domestica,PAQUETE DE 10 AGUJAS TALON PLANO PUNTA DE BOLA 80/12,R-64940,3.85,https://canodiy.es/maquina-domestica/8727-R+64940-9999999028069.html
AGUJAS Y LEZNAS,Máquina Doméstica,maquina-domestica,PAQUETE DE 10 AGUJAS TALÓN PLANO PUNTA BOLA 70/10,R-64939,3.85,https://canodiy.es/maquina-domestica/8728-R+64939-9999999028052.html
AGUJAS Y LEZNAS,Máquina Doméstica,maquina-domestica,PAQUETE DE 10 AGUJAS TALÓN PLANO PUNTA DE BOLA 100/16,R-64942,3.85,https://canodiy.es/maquina-domestica/8726-R+64942-9999999028076.html
AGUJAS Y LEZNAS,Máquina Doméstica,maquina-domestica,PAQUETE DE 3 AGUJAS TALON PLANO DOBLE PUNTA SURTIDA,R-64928,11.74,https://canodiy.es/maquina-domestica/8730-R+64928-9999999028090.html
AGUJAS Y LEZNAS,Máquina Doméstica,maquina-domestica,PAQUETE DE 5 AGUJAS MÁQUINA DOMÉSTICA TALÓN PLANO 110/18,R-64945,1.92,https://canodiy.es/maquina-domestica/8722-R+64945-9999999028014.html
AGUJAS Y LEZNAS,Máquina Doméstica,maquina-domestica,PAQUETE DE 5 AGUJAS MÁQUINA DOMÉSTICA TALÓN PLANO 80/12,R-64944,1.92,https://canodiy.es/maquina-domestica/8721-R+64944-9999999027994.html
AGUJAS Y LEZNAS,Máquina Doméstica,maquina-domestica,PAQUETE DE 5 AGUJAS MÁQUINA DOMÉSTICA TALÓN PLANO 90/14,R-48004,1.92,https://canodiy.es/maquina-domestica/3341-R+48004-9999999028007.html
AGUJAS Y LEZNAS,Máquina Doméstica,maquina-domestica,PAQUETE DE 5 AGUJAS TALON PLANO PARA VAQUEROS 90/14,R-64937,2.33,https://canodiy.es/maquina-domestica/8729-R+64937-9999999028083.html
AGUJAS Y LEZNAS,Máquina Doméstica,maquina-domestica,PAQUETE DE 5 AGUJAS TALÓN PLANO PARA CUERO SURTIDAS,R-51090,3.27,https://canodiy.es/maquina-domestica/3344-R+51090-9999999029530.html
AGUJAS Y LEZNAS,Máquina Doméstica,maquina-domestica,PAQUETE DE 5 AGUJAS TALÓN PLANO PARA TEJIDO ELÁSTICO O LYCRA 75/11,R-51088,2.76,https://canodiy.es/maquina-domestica/3345-R+51088-9999999028977.html
